732.33117	0.00428
736.6557	0.00428
740.98023	0.00428
744.80578	0.00428
749.62929	0.00428
754.09936	0.00654
758.59022	0.0088
760.69011	0.02434
762.87317	0.04215
764.49487	0.05147
766.13736	0.05373
768.15409	0.0574
769.42234	0.06362
770.42031	0.07746
771.48065	0.09724
772.41625	0.12098
773.03998	0.14556
773.64292	0.17269
774.10032	0.19868
774.26665	0.21959
774.57851	0.2453
774.8488	0.27243
775.01512	0.3004
775.63885	0.34222
775.90914	0.37641
776.07547	0.40805
776.53287	0.44394
776.59524	0.47643
776.74078	0.51147
776.94869	0.54226
777.3853	0.59425
777.65558	0.64031
778.13378	0.68524
778.38327	0.72423
778.71592	0.75842
779.13175	0.7991
779.56836	0.83132
780.08813	0.86635
780.54553	0.90082
781.19006	0.91891
782.10486	0.93445
782.29198	0.95677
782.7078	0.98248
783.24837	0.99604
783.97605	1
784.72453	0.99209
784.93244	0.97853
785.20272	0.96383
785.74329	0.95084
786.36702	0.93021
786.4086	0.91156
786.78284	0.88274
787.07391	0.85618
787.67685	0.82369
788.36296	0.78639
788.84115	0.74118
789.36092	0.68891
789.83912	0.63861
790.31731	0.57363
790.89946	0.50751
791.7311	0.42698
792.54195	0.35719
793.85178	0.27101
795.18241	0.20377
796.32591	0.15771
797.59417	0.12465
798.17632	0.10261
799.29903	0.07464
801.08706	0.05175
802.93746	0.03932
805.05814	0.02011
807.05408	0.01078
809.27872	0.00598
811.60731	0.0057
813.52008	0.00654
816.61795	0.00739
821.64937	0.00739
828.26091	0.00598
