833.7	0.11067
829	0.10834
824.3	0.10508
819.6	0.10135
814.9	0.09762
810.2	0.09435
805.5	0.09175
800.8	0.09587
796.1	0.0951
791.4	0.09262
786.7	0.09049
782	0.09219
777.3	0.08998
772.6	0.08886
767.9	0.08676
763.2	0.08433
758.5	0.0822
753.8	0.08739
749.1	0.08697
744.4	0.08504
739.7	0.08826
735	0.08766
730.3	0.08652
725.6	0.08714
720.9	0.08848
716.2	0.0884
711.5	0.08525
706.8	0.09138
702.1	0.09609
697.4	0.10076
692.7	0.10121
688	0.09746
683.3	0.09701
678.6	0.10007
673.9	0.10037
669.2	0.09997
664.5	0.09839
659.8	0.10198
655.1	0.10644
650.4	0.10822
645.7	0.1055
641	0.10094
636.3	0.10025
631.6	0.09795
626.9	0.09535
622.2	0.09494
617.5	0.09507
612.8	0.0914
608.1	0.09048
603.4	0.09039
598.7	0.08645
594	0.08378
589.3	0.08161
584.6	0.08019
579.9	0.08133
575.2	0.08556
570.5	0.08681
565.8	0.08625
561.1	0.09305
556.4	0.097
551.7	0.09634
547	0.10091
542.3	0.10133
537.6	0.10108
532.9	0.09653
528.2	0.09762
523.5	0.10146
518.8	0.10074
514.1	0.10323
509.4	0.10373
504.7	0.10492
500	0.1078
495.3	0.10127
490.6	0.09773
485.9	0.08647
481.2	0.08444
476.5	0.08906
471.8	0.08512
467.1	0.08001
462.4	0.08308
457.7	0.08636
453	0.08792
448.3	0.0875
443.6	0.08776
438.9	0.08193
434.2	0.0808
429.5	0.08351
424.8	0.08247
420.1	0.08239
415.4	0.08896
410.7	0.09197
406	0.09188
401.3	0.09796
396.6	0.09813
391.9	0.10046
387.2	0.10086
382.5	0.1032
377.8	0.10357
373.1	0.10592
368.4	0.10389
363.7	0.0998
359	0.0943
354.3	0.09528
349.6	0.092
344.9	0.0959
340.2	0.09677
335.5	0.09959
330.8	0.09939
326.1	0.09783
321.4	0.09527
316.7	0.09325
312	0.09181
307.3	0.09244
302.6	0.08802
297.9	0.09132
293.2	0.09313
288.5	0.09418
283.8	0.09207
279.1	0.09351
274.4	0.09484
269.7	0.09965
265	0.10219
260.3	0.10768
255.6	0.10493
250.9	0.1044
246.2	0.1051
241.5	0.10294
236.8	0.09901
232.1	0.10363
227.4	0.10559
222.7	0.10833
218	0.10552
213.3	0.10803
208.6	0.10646
203.9	0.10219
199.2	0.10395
194.5	0.10586
189.8	0.10319
185.1	0.10168
180.4	0.10225
175.7	0.10085
171	0.0996
166.3	0.10568
161.6	0.11069
156.9	0.11333
152.2	0.11788
147.5	0.12407
142.8	0.12734
138.1	0.12587
133.4	0.13218
128.7	0.13571
124	0.14071
119.3	0.14965
114.6	0.16597
109.9	0.18049
105.2	0.19772
100.5	0.22294
95.8	0.25659
91.1	0.28179
86.4	0.32221
81.7	0.3648
77	0.40182
72.3	0.44375
67.6	0.50829
62.9	0.55765
58.2	0.62088
53.5	0.68023
48.8	0.74343
44.1	0.77678
39.4	0.81366
34.7	0.83994
30	0.85602
25.3	0.87263
20.6	0.90091
15.9	0.92465
11.2	0.96293
6.5	0.98065
1.8	1
-2.9	0.98803
-7.6	0.98393
-12.3	0.96914
-17	0.9387
-21.7	0.90212
-26.4	0.86981
-31.1	0.85752
-35.8	0.82199
-40.5	0.76616
-45.2	0.7192
-49.9	0.66663
-54.6	0.6213
-59.3	0.5674
-64	0.50368
-68.7	0.44528
-73.4	0.39053
-78.1	0.34871
-82.8	0.29037
-87.5	0.24079
-92.2	0.20469
-96.9	0.17574
-101.6	0.15679
-106.3	0.14556
-111	0.1346
-115.7	0.12305
-120.4	0.11144
-125.1	0.10382
-129.8	0.10285
-134.5	0.10315
-139.2	0.10013
-143.9	0.09814
-148.6	0.10347
-153.3	0.10428
-158	0.10387
-162.7	0.10343
-167.4	0.10268
-172.1	0.10432
-176.8	0.10954
-181.5	0.11341
-186.2	0.11118
-190.9	0.10494
-195.6	0.10945
-200.3	0.10948
-205	0.10997
-209.7	0.10911
-214.4	0.10589
-219.1	0.10278
-223.8	0.10113
-228.5	0.10054
-233.2	0.09258
-237.9	0.08665
-242.6	0.09298
-247.3	0.09457
-252	0.09846
-256.7	0.09985
-261.4	0.10074
-266.1	0.09644
-270.8	0.09621
-275.5	0.09406
-280.2	0.08883
-284.9	0.08677
-289.6	0.08671
-294.3	0.08589
-299	0.08787
-303.7	0.09005
-308.4	0.09347
-313.1	0.09804
-317.8	0.10624
-322.5	0.10746
-327.2	0.11117
-331.9	0.11239
-336.6	0.10849
-341.3	0.10243
-346	0.09375
-350.7	0.08949
-355.4	0.088
-360.1	0.09123
-364.8	0.0926
-369.5	0.09259
-374.2	0.09816
-378.9	0.10167
-383.6	0.10448
-388.3	0.1078
-393	0.10718
-397.7	0.10827
-402.4	0.11245
-407.1	0.10958
-411.8	0.10626
-416.5	0.10415
-421.2	0.10403
-425.9	0.10425
-430.6	0.10456
-435.3	0.10186
-440	0.0956
-444.7	0.09353
-449.4	0.09401
-454.1	0.08889
-458.8	0.09171
-463.5	0.09489
-468.2	0.10047
-472.9	0.10223
-477.6	0.10172
-482.3	0.09482
-487	0.09372
-491.7	0.0935
-496.4	0.09546
-501.1	0.09707
-505.8	0.09803
-510.5	0.09938
-515.2	0.1042
-519.9	0.10548
-524.6	0.10463
-529.3	0.10511
-534	0.10998
-538.7	0.105
-543.4	0.1081
-548.1	0.10495
-552.8	0.09958
-557.5	0.09871
-562.2	0.09929
-566.9	0.10065
-571.6	0.10249
-576.3	0.10453
-581	0.10647
