65.0016 	31	
65.0063 	29	
65.0109 	33	
65.0156 	31	
65.0203 	44	
65.025 	45	
65.0297 	43	
65.0344 	53	
65.0391 	74	
65.0438 	45	
65.0484 	59	
65.0531 	77	
65.0578 	65	
65.0625 	79	
65.0672 	84	
65.0719 	82	
65.0766 	69	
65.0813 	96	
65.0859 	90	
65.0906 	103	
65.0953 	116	
65.1 	117	
65.1047 	129	
65.1094 	113	
65.1141 	135	
65.1187 	143	
65.1234 	125	
65.1281 	154	
65.1328 	160	
65.1375 	168	
65.1422 	185	
65.1469 	175	
65.1516 	207	
65.1562 	219	
65.1609 	242	
65.1656 	219	
65.1703 	239	
65.175 	227	
65.1797 	283	
65.1844 	275	
65.1891 	278	
65.1938 	315	
65.1984 	353	
65.2031 	330	
65.2078 	345	
65.2125 	364	
65.2172 	377	
65.2219 	396	
65.2266 	381	
65.2313 	459	
65.2359 	441	
65.2406 	468	
65.2453 	459	
65.25 	512	
65.2547 	563	
65.2594 	532	
65.2641 	559	
65.2687 	574	
65.2734 	633	
65.2781 	612	
65.2828 	609	
65.2875 	689	
65.2922 	720	
65.2969 	738	
65.3016 	764	
65.3062 	782	
65.3109 	783	
65.3156 	857	
65.3203 	904	
65.325 	880	
65.3297 	942	
65.3344 	913	
65.3391 	919	
65.3437 	1045	
65.3484 	1003	
65.3531 	1091	
65.3578 	1057	
65.3625 	1178	
65.3672 	1158	
65.3719 	1199	
65.3766 	1280	
65.3813 	1191	
65.3859 	1350	
65.3906 	1389	
65.3953 	1253	
65.4 	1321	
65.4047 	1397	
65.4094 	1441	
65.4141 	1466	
65.4188 	1408	
65.4234 	1518	
65.4281 	1557	
65.4328 	1571	
65.4375 	1617	
65.4422 	1525	
65.4469 	1627	
65.4516 	1681	
65.4562 	1662	
65.4609 	1717	
65.4656 	1668	
65.4703 	1693	
65.475 	1772	
65.4797 	1724	
65.4844 	1752	
65.4891 	1903	
65.4937 	1746	
65.4984 	1929	
65.5031 	1873	
65.5078 	1869	
65.5125 	1986	
65.5172 	1859	
65.5219 	1989	
65.5266 	1938	
65.5312 	1875	
65.5359 	2108	
65.5406 	1959	
65.5453 	2039	
65.55 	2098	
65.5547 	1987	
65.5594 	2046	
65.5641 	2086	
65.5688 	2132	
65.5734 	2113	
65.5781 	2048	
65.5828 	1967	
65.5875 	2067	
65.5922 	2045	
65.5969 	2136	
65.6016 	2093	
65.6063 	2108	
65.6109 	2259	
65.6156 	2061	
65.6203 	2109	
65.625 	2074	
65.6297 	2174	
65.6344 	2126	
65.6391 	2169	
65.6437 	2052	
65.6484 	2183	
65.6531 	2062	
65.6578 	2137	
65.6625 	2138	
65.6672 	2134	
65.6719 	2197	
65.6766 	2141	
65.6812 	2149	
65.6859 	2094	
65.6906 	2197	
65.6953 	2136	
65.7 	2150	
65.7047 	2235	
65.7094 	2187	
65.7141 	2059	
65.7188 	2063	
65.7234 	2157	
65.7281 	2040	
65.7328 	2174	
65.7375 	2166	
65.7422 	2151	
65.7469 	2062	
65.7516 	2129	
65.7563 	2242	
65.7609 	2070	
65.7656 	2091	
65.7703 	2259	
65.775 	2064	
65.7797 	2114	
65.7844 	2107	
65.7891 	2107	
65.7937 	2133	
65.7984 	2088	
65.8031 	2190	
65.8078 	2197	
65.8125 	2156	
65.8172 	2117	
65.8219 	2274	
65.8266 	2096	
65.8312 	2120	
65.8359 	2118	
65.8406 	2151	
65.8453 	2190	
65.85 	2048	
65.8547 	2194	
65.8594 	2058	
65.8641 	2131	
65.8687 	2099	
65.8734 	2091	
65.8781 	2093	
65.8828 	2173	
65.8875 	2125	
65.8922 	2148	
65.8969 	2163	
65.9016 	2089	
65.9063 	2213	
65.9109 	2063	
65.9156 	2164	
65.9203 	2103	
65.925 	2102	
65.9297 	2097	
65.9344 	2139	
65.9391 	2067	
65.9438 	2200	
65.9484 	2177	
65.9531 	2084	
65.9578 	2115	
65.9625 	1971	
65.9672 	2249	
65.9719 	2045	
65.9766 	2101	
65.9812 	2146	
65.9859 	2264	
65.9906 	2286	
65.9953 	2207	
66 	2090	
66.0047 	2168	
66.0094 	2123	
66.0141 	2025	
66.0187 	2208	
66.0234 	2053	
66.0281 	2149	
66.0328 	2189	
66.0375 	2116	
66.0422 	2091	
66.0469 	2119	
66.0516 	2075	
66.0562 	2152	
66.0609 	2185	
66.0656 	2168	
66.0703 	2122	
66.075 	2160	
66.0797 	2184	
66.0844 	2112	
66.0891 	2100	
66.0938 	2175	
66.0984 	2072	
66.1031 	2138	
66.1078 	2062	
66.1125 	2162	
66.1172 	2162	
66.1219 	2128	
66.1266 	2234	
66.1313 	2188	
66.1359 	2078	
66.1406 	2179	
66.1453 	2179	
66.15 	2180	
66.1547 	2111	
66.1594 	2182	
66.1641 	2265	
66.1687 	2162	
66.1734 	2194	
66.1781 	2174	
