62.0016 	1	
62.0109 	1	
62.0578 	5	
62.0625 	1	
62.0719 	1	
62.0766 	1	
62.0813 	2	
62.0906 	1	
62.1094 	2	
62.1141 	3	
62.1187 	1	
62.1234 	1	
62.1375 	2	
62.1469 	6	
62.1516 	2	
62.1562 	3	
62.1609 	2	
62.1656 	3	
62.1703 	3	
62.175 	5	
62.1797 	1	
62.1844 	4	
62.1891 	6	
62.1938 	7	
62.1984 	4	
62.2031 	3	
62.2078 	2	
62.2125 	6	
62.2172 	9	
62.2219 	7	
62.2266 	15	
62.2313 	8	
62.2359 	16	
62.2406 	6	
62.2453 	11	
62.25 	21	
62.2547 	23	
62.2594 	23	
62.2641 	22	
62.2687 	21	
62.2734 	27	
62.2781 	28	
62.2828 	28	
62.2875 	32	
62.2922 	41	
62.2969 	32	
62.3016 	48	
62.3062 	39	
62.3109 	51	
62.3156 	47	
62.3203 	58	
62.325 	58	
62.3297 	74	
62.3344 	70	
62.3391 	71	
62.3437 	85	
62.3484 	76	
62.3531 	89	
62.3578 	107	
62.3625 	106	
62.3672 	109	
62.3719 	103	
62.3766 	120	
62.3813 	135	
62.3859 	142	
62.3906 	140	
62.3953 	147	
62.4 	158	
62.4047 	176	
62.4094 	157	
62.4141 	149	
62.4188 	156	
62.4234 	169	
62.4281 	192	
62.4328 	188	
62.4375 	199	
62.4422 	172	
62.4469 	229	
62.4516 	228	
62.4562 	185	
62.4609 	238	
62.4656 	236	
62.4703 	236	
62.475 	250	
62.4797 	231	
62.4844 	261	
62.4891 	251	
62.4937 	278	
62.4984 	284	
62.5031 	288	
62.5078 	280	
62.5125 	310	
62.5172 	306	
62.5219 	340	
62.5266 	287	
62.5312 	325	
62.5359 	318	
62.5406 	320	
62.5453 	334	
62.55 	303	
62.5547 	340	
62.5594 	370	
62.5641 	336	
62.5688 	300	
62.5734 	334	
62.5781 	381	
62.5828 	375	
62.5875 	373	
62.5922 	372	
62.5969 	404	
62.6016 	342	
62.6063 	358	
62.6109 	366	
62.6156 	351	
62.6203 	394	
62.625 	390	
62.6297 	400	
62.6344 	383	
62.6391 	412	
62.6437 	455	
62.6484 	435	
62.6531 	399	
62.6578 	432	
62.6625 	409	
62.6672 	421	
62.6719 	413	
62.6766 	394	
62.6812 	465	
62.6859 	424	
62.6906 	418	
62.6953 	465	
62.7 	439	
62.7047 	444	
62.7094 	445	
62.7141 	424	
62.7188 	449	
62.7234 	409	
62.7281 	483	
62.7328 	452	
62.7375 	411	
62.7422 	420	
62.7469 	462	
62.7516 	449	
62.7563 	426	
62.7609 	501	
62.7656 	450	
62.7703 	440	
62.775 	434	
62.7797 	472	
62.7844 	434	
62.7891 	455	
62.7938 	470	
62.7984 	475	
62.8031 	437	
62.8078 	455	
62.8125 	487	
62.8172 	491	
62.8219 	458	
